Date,Males,Females,Unknown_Gender,A00-A04,A05-A14,A15-A34,A35-A59,A60-A79,A80+,Unknown_Age,Baden-Württemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thüringen
2020/01/28,2,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/01/29,1,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/01/30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/01/31,2,1,0,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/03,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/04,4,0,0,1,0,1,2,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020/02/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/06,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/07,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/11,2,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/12,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020/02/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/20,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020/02/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/22,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020/02/23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/24,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/25,1,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/26,5,2,0,0,0,3,4,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2020/02/27,11,12,0,0,1,10,10,2,0,0,3,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0
2020/02/28,23,24,0,4,1,22,14,6,0,0,6,2,0,0,0,1,1,0,0,35,1,0,0,0,1,0
2020/02/29,15,7,0,0,1,8,12,1,0,0,2,2,0,0,0,1,0,0,0,15,1,0,0,0,1,0
2020/03/01,16,20,0,0,0,18,14,4,0,0,1,4,0,1,1,1,4,0,1,23,0,0,0,0,0,0
2020/03/02,27,14,0,0,0,15,17,8,1,0,10,6,0,0,1,0,4,0,2,15,0,0,1,0,2,0
2020/03/03,55,31,0,0,7,24,39,16,0,0,24,6,6,0,2,3,4,2,6,30,1,0,0,0,1,1
2020/03/04,79,76,0,1,3,56,78,13,4,0,37,10,3,0,0,3,2,2,4,90,4,0,0,0,0,0
2020/03/05,95,90,0,4,4,66,92,17,2,0,36,19,10,3,0,5,6,1,6,97,1,0,0,0,1,0
2020/03/06,104,83,0,2,6,35,104,33,7,0,51,51,5,0,0,3,1,0,7,63,2,0,2,0,2,0
2020/03/07,67,73,0,0,6,36,70,26,2,0,31,20,1,0,0,4,4,0,8,67,2,0,2,0,0,1
2020/03/08,53,48,0,2,5,23,60,9,2,0,19,20,11,4,0,5,0,2,4,26,3,1,5,0,1,0
2020/03/09,183,160,0,3,12,89,190,42,7,0,52,84,22,4,7,20,20,4,14,97,6,5,5,0,3,0
2020/03/10,348,252,0,2,20,153,310,101,14,0,118,111,34,9,11,30,16,1,35,173,17,2,21,6,7,9
2020/03/11,425,326,0,6,27,187,381,139,11,0,146,117,42,8,11,29,37,8,63,200,29,10,16,15,19,1
2020/03/12,577,412,1,5,15,212,600,142,16,0,188,137,47,25,7,42,37,9,69,281,64,13,28,14,18,11
2020/03/13,814,632,0,2,37,343,823,213,28,0,314,252,59,21,9,38,78,9,89,418,58,17,36,11,27,10
2020/03/14,726,576,0,12,32,347,729,159,23,0,326,230,29,14,3,77,82,1,77,322,51,12,34,2,24,18
2020/03/15,531,448,1,6,18,248,546,129,32,1,182,169,26,21,3,80,24,1,68,241,95,18,30,0,21,1
2020/03/16,1156,888,1,8,41,519,1113,315,49,0,431,270,63,20,1,80,126,14,156,610,125,24,43,35,29,18
2020/03/17,1703,1343,1,17,73,821,1615,429,91,1,600,474,93,65,12,133,168,31,176,911,168,24,86,29,46,31
2020/03/18,2098,1514,3,29,60,978,1900,554,93,1,802,754,146,47,10,134,224,43,277,717,158,44,131,38,53,37
2020/03/19,2249,1822,4,27,58,1107,2096,664,122,1,654,822,180,55,40,185,203,34,271,1139,135,45,155,43,60,54
