Date,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prince Edward Island,Quebec,Repatriated travellers,Saskatchewan,Yukon
31-01-2020,0,1,0,0,0,0,0,0,3,0,0,0,0,0
01-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-02-2020,0,3,0,0,0,0,0,0,0,0,0,0,0,0
09-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-02-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-02-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-02-2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25-02-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26-02-2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27-02-2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-02-2020,0,0,0,0,0,0,0,0,2,0,0,0,0,0
01-03-2020,0,1,0,0,0,0,0,0,7,0,1,0,0,0
02-03-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-03-2020,0,4,0,0,0,0,0,0,5,0,0,0,0,0
04-03-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-03-2020,0,9,0,0,0,0,0,0,2,0,1,0,0,0
06-03-2020,0,0,0,0,0,0,0,0,6,0,0,0,0,0
07-03-2020,0,6,0,0,0,0,0,0,0,0,0,0,0,0
08-03-2020,1,0,0,0,0,0,0,0,3,0,1,0,0,0
09-03-2020,6,5,0,0,0,0,0,0,3,0,1,0,0,0
10-03-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-03-2020,0,0,0,0,0,0,0,0,8,0,3,1,0,0
12-03-2020,5,7,1,1,0,0,0,0,17,0,6,0,1,0
13-03-2020,4,7,2,0,0,0,0,0,20,0,4,1,0,0
14-03-2020,6,11,1,1,0,0,0,0,0,0,0,0,1,0
15-03-2020,10,9,0,0,1,0,0,0,24,1,7,2,0,0
16-03-2020,17,0,3,4,0,0,3,0,42,0,15,0,4,0
17-03-2020,18,30,0,1,0,0,2,0,32,0,11,4,1,0
18-03-2020,23,83,8,1,2,0,2,0,12,0,24,1,1,0
19-03-2020,49,85,2,3,0,0,7,0,69,1,47,1,12,0
20-03-2020,49,0,0,0,1,0,1,0,53,0,18,3,6,0
21-03-2020,31,153,2,6,2,1,6,0,66,0,82,0,18,0
22-03-2020,33,0,0,0,3,0,7,0,48,1,0,0,8,0
23-03-2020,42,48,1,0,15,0,13,0,78,0,407,0,14,0
24-03-2020,57,145,1,1,11,0,10,0,85,0,385,0,6,0
25-03-2020,61,42,14,8,32,0,17,0,100,2,326,0,14,0
26-03-2020,67,66,1,7,15,0,5,0,170,4,290,0,9,0
27-03-2020,56,0,3,12,20,0,17,0,135,2,392,0,9,0
28-03-2020,0,159,25,6,18,0,20,0,0,0,477,0,30,0
29-03-2020,79,0,8,15,15,0,12,0,362,0,342,0,0,0
30-03-2020,69,76,24,2,13,0,5,0,351,7,590,0,41,1
31-03-2020,64,10,7,2,4,0,20,0,260,3,732,0,9,0
01-04-2020,0,96,24,11,23,1,26,0,426,0,449,0,9,0
02-04-2020,214,55,40,10,8,0,20,0,401,1,907,0,13,1
03-04-2020,107,53,15,4,0,2,14,0,462,0,583,0,14,0
04-04-2020,0,29,12,3,12,0,29,0,375,0,896,0,11,0
05-04-2020,175,0,9,3,22,0,26,0,408,0,947,0,18,0
06-04-2020,98,63,1,2,9,1,31,0,309,0,636,0,4,1
07-04-2020,25,25,13,2,2,0,17,0,379,0,760,0,7,0
08-04-2020,50,45,4,3,4,0,32,0,550,2,691,0,11,0
09-04-2020,28,34,3,3,4,0,31,0,483,1,881,0,7,1
10-04-2020,49,40,6,1,3,0,34,0,478,0,765,0,7,0
11-04-2020,69,35,13,0,2,0,21,0,411,0,615,0,4,0
12-04-2020,82,0,-1,2,1,0,17,0,401,0,554,0,9,0
13-04-2020,81,45,4,2,2,0,29,0,421,0,711,0,2,0
14-04-2020,138,27,0,0,0,0,43,0,483,0,691,0,1,0
